GRE,CGPA,Chance
336,9.8,0.97
340,9.92,0.97
340,9.91,0.97
334,9.87,0.97
336,9.76,0.96
340,9.5,0.96
339,9.76,0.96
339,9.8,0.96
333,9.78,0.96
340,9.74,0.96
335,9.82,0.96
337,9.87,0.96
334,9.7,0.95
338,9.66,0.95
336,9.62,0.95
333,9.66,0.95
340,9.06,0.95
328,9.5,0.94
340,9.6,0.94
331,9.8,0.94
332,9.64,0.94
340,9.45,0.94
335,9.56,0.94
334,9.48,0.94
332,9.28,0.94
336,9.53,0.94
331,9.42,0.94
340,9.66,0.94
332,9.47,0.94
334,9.54,0.94
321,9.45,0.93
331,9.38,0.93
334,9.43,0.93
335,9.44,0.93
331,9.36,0.93
330,9.36,0.93
335,9.68,0.93
331,9.26,0.93
334,9.54,0.93
327,9.67,0.93
328,9.6,0.93
330,9.56,0.93
337,9.65,0.92
320,9.22,0.92
322,9.36,0.92
333,9.35,0.92
331,9.44,0.92
336,9.19,0.92
323,9.86,0.92
331,9.44,0.92
324,9.25,0.92
338,9.4,0.91
326,9.4,0.91
338,9.46,0.91
322,9.26,0.91
330,9.31,0.91
338,9.23,0.91
330,9.45,0.91
330,9.23,0.91
325,9.46,0.91
328,9.08,0.91
330,9.34,0.9
340,9.6,0.9
332,9.24,0.9
332,9.36,0.9
329,9.16,0.9
324,9.16,0.9
331,9.34,0.9
330,9.24,0.9
327,9.48,0.9
339,9.7,0.89
333,9.28,0.89
334,9.07,0.89
323,9.23,0.89
327,9.11,0.89
329,9.45,0.89
324,9.08,0.89
324,9.22,0.89
329,9.23,0.89
324,9.25,0.89
329,9.36,0.89
320,9.2,0.88
322,9.1,0.88
324,9.08,0.88
326,9.23,0.88
332,9.1,0.87
329,9.18,0.87
321,8.97,0.87
323,8.98,0.87
327,9.13,0.87
321,9.16,0.87
320,9.27,0.87
332,9.02,0.87
329,9.3,0.86
331,8.96,0.86
321,9.06,0.86
322,9.13,0.86
322,8.94,0.86
329,9.19,0.86
320,9.11,0.86
330,9.17,0.86
324,9.22,0.86
326,9.16,0.86
323,9.32,0.85
320,8.87,0.85
321,9.13,0.85
325,9.17,0.85
321,9.12,0.85
322,8.64,0.85
327,9,0.84
314,9.04,0.84
326,9.1,0.84
329,9.15,0.84
317,8.68,0.84
324,8.97,0.84
328,9.18,0.84
326,9.12,0.84
325,9.11,0.84
320,8.97,0.84
327,9.04,0.84
326,9.11,0.83
327,9.14,0.83
325,9.11,0.83
328,8.77,0.83
321,8.85,0.82
314,8.77,0.82
319,9.04,0.82
328,9.14,0.82
324,9.01,0.82
314,9.02,0.82
324,9.15,0.82
324,9.04,0.82
320,8.86,0.82
320,8.64,0.81
329,9.01,0.81
328,9.02,0.81
312,8.79,0.81
326,9.14,0.81
323,8.74,0.81
324,8.66,0.81
321,8.44,0.81
323,8.88,0.81
322,8.67,0.8
326,9.08,0.8
325,8.96,0.8
326,8.89,0.8
324,8.87,0.8
317,9.11,0.8
321,8.9,0.8
325,9,0.8
327,8.69,0.8
324,8.77,0.8
327,8.66,0.8
312,9.02,0.8
321,9.01,0.8
323,8.88,0.79
323,8.78,0.79
311,8.26,0.79
324,8.75,0.79
325,9.06,0.79
307,8.37,0.79
313,9,0.79
323,9.1,0.79
324,8.8,0.79
326,8.76,0.79
327,8.77,0.79
321,8.54,0.79
332,8.66,0.79
315,9.13,0.79
325,8.96,0.79
327,9.14,0.79
328,9.1,0.78
327,8.4,0.78
334,8,0.78
328,9.16,0.78
319,8.71,0.78
318,9.12,0.78
322,8.97,0.78
307,8.52,0.78
324,8.64,0.78
322,8.96,0.78
311,9,0.78
322,8.84,0.78
324,8.94,0.78
318,8.78,0.78
323,8.48,0.78
303,8.65,0.77
312,8.69,0.77
316,8.76,0.77
321,8.83,0.77
326,8.76,0.77
308,8.34,0.77
313,8.9,0.77
317,8.76,0.77
321,8.95,0.77
319,8.66,0.77
324,8.87,0.76
322,8.8,0.76
313,8.3,0.76
319,8.66,0.76
312,8.45,0.76
313,8.75,0.76
324,8.79,0.76
325,9.04,0.76
309,8.56,0.76
310,8.67,0.76
320,8.74,0.76
320,8.44,0.76
327,8.75,0.76
322,8.62,0.76
321,8.2,0.75
315,8.48,0.75
314,8.8,0.75
316,8.56,0.75
325,8.76,0.75
317,8.5,0.75
308,8.21,0.75
312,8.46,0.75
327,8.3,0.74
314,8.9,0.74
327,8.72,0.74
316,8.76,0.74
326,9.05,0.74
312,8.42,0.74
319,8.33,0.74
320,8.57,0.74
321,8.8,0.74
318,8.27,0.74
320,8.34,0.74
311,8.13,0.74
307,8.27,0.73
306,8.26,0.73
310,8.33,0.73
317,8.54,0.73
313,8.65,0.73
314,8.17,0.73
323,8.55,0.73
323,8.44,0.73
311,8.12,0.73
312,8.65,0.73
325,8.67,0.73
317,8.12,0.73
319,8.67,0.73
322,9.02,0.73
320,8.78,0.73
319,8.76,0.73
317,7.89,0.73
312,8.43,0.73
262,7.5,0.72
278,7.6,0.72
288,8.06,0.72
260,7.92,0.72
270,8.06,0.72
248,7.62,0.72
262,7.82,0.72
256,8.19,0.72
260,7.96,0.72
262,8.23,0.72
254,7.95,0.72
242,7.72,0.72
258,7.77,0.72
268,8.29,0.72
250,7.74,0.72
272,7.85,0.72
274,7.96,0.71
284,8.34,0.71
248,8.06,0.71
262,7.66,0.71
230,7.66,0.71
240,7.92,0.71
246,7.95,0.71
266,8.17,0.71
252,7.98,0.71
266,8.04,0.71
254,7.59,0.71
256,8.18,0.71
240,8.15,0.71
268,8.04,0.71
252,7.93,0.71
266,8.15,0.71
254,8.07,0.71
250,8.15,0.71
262,8.04,0.71
250,7.51,0.71
258,8.23,0.71
266,7.99,0.71
238,7.42,0.71
280,7.9,0.7
274,7.5,0.7
260,7.84,0.7
252,7.93,0.7
250,7.87,0.7
278,8.26,0.7
262,8.5,0.7
246,7.86,0.7
278,8.29,0.7
270,8.12,0.7
246,8.1,0.7
258,7.14,0.7
252,7.84,0.7
262,8.28,0.69
272,8.18,0.69
226,8.04,0.69
254,7.77,0.69
254,8.03,0.69
220,7.36,0.69
242,7.86,0.69
262,8.24,0.69
254,8.03,0.69
246,7.4,0.68
266,8.72,0.68
238,8.14,0.68
264,8.06,0.68
254,7.54,0.68
228,7.38,0.68
232,7.62,0.68
252,8.14,0.68
264,8.07,0.68
232,7.39,0.68
232,7.63,0.68
268,7.87,0.68
232,7.95,0.68
266,8,0.67
240,7.73,0.67
238,8.23,0.67
232,7.54,0.67
260,7.83,0.67
232,7.53,0.67
254,8.28,0.67
266,8.04,0.67
262,7.65,0.67
246,7.45,0.67
244,7.62,0.67
264,8.2,0.66
264,7.78,0.66
250,8.54,0.66
250,7.52,0.66
246,7.99,0.66
268,8.26,0.66
240,7.63,0.66
260,7.84,0.66
254,7.96,0.66
258,7.71,0.65
268,7.5,0.65
230,7.6,0.65
248,7.76,0.65
234,7.83,0.65
252,7.48,0.65
264,7.65,0.65
274,7.95,0.65
246,7.57,0.65
260,7.6,0.65
248,7.68,0.65
234,8,0.65
254,7.4,0.64
228,7.9,0.64
270,7.2,0.64
262,6.9,0.64
232,7.72,0.64
258,7.64,0.64
266,7.42,0.64
254,7.62,0.64
230,8.16,0.64
256,7.77,0.64
216,7.3,0.64
240,7.66,0.64
254,8.03,0.64
238,7.57,0.64
254,7.68,0.64
236,7.56,0.64
258,7.74,0.64
242,7.71,0.64
252,7.59,0.64
266,8.3,0.63
260,7.39,0.63
242,7.95,0.63
258,8.06,0.63
228,7.52,0.63
230,7.67,0.63
238,7.72,0.63
244,7.5,0.62
236,8,0.62
258,7.75,0.62
232,7.84,0.62
248,7.5,0.62
256,7.93,0.62
240,7.68,0.62
256,7.54,0.62
230,7.76,0.62
252,7.14,0.62
244,7.44,0.62
238,7.62,0.62
230,7.72,0.62
252,7.7,0.61
284,8.52,0.61
240,7.98,0.61
246,7.72,0.61
242,7.64,0.61
222,7.53,0.61
262,7.82,0.61
274,7.52,0.61
230,7.52,0.61
264,7.15,0.61
222,7.18,0.6
248,7.53,0.6
252,7.95,0.59
228,7.39,0.59
240,7.63,0.59
224,7.17,0.59
258,7.38,0.59
240,7.14,0.59
230,7.38,0.59
230,7.3,0.58
260,7.45,0.58
244,7.15,0.58
230,7.51,0.58
246,7.74,0.58
226,7.45,0.58
246,7.48,0.58
250,6.73,0.58
262,8.14,0.57
264,7.97,0.57
250,7.86,0.57
232,7.97,0.57
260,7.36,0.57
220,7.15,0.57
234,6.75,0.57
252,6.96,0.57
224,7.17,0.57
238,7.36,0.57
254,7.4,0.56
260,8,0.56
228,8.12,0.56
230,7.37,0.56
234,7.47,0.56
236,7.15,0.56
256,7.63,0.56
280,8.42,0.55
248,7.18,0.55
258,7.8,0.54
250,6.8,0.54
238,7.7,0.54
228,7.36,0.54
226,7.36,0.54
232,7.06,0.54
240,7.76,0.54
224,7.31,0.54
256,8,0.53
226,6.96,0.53
244,7.6,0.53
240,7.29,0.53
226,7.19,0.53
280,7.9,0.52
238,7,0.52
280,8.2,0.52
224,7.4,0.52
254,7.51,0.52
234,6.95,0.52
262,7.18,0.52
226,7.38,0.51
228,7.38,0.51
234,7.5,0.5
254,7.52,0.5
262,7.7,0.49
218,7.14,0.49
262,6.93,0.49
222,7.3,0.49
264,7.44,0.49
244,7.2,0.48
248,7.6,0.48
242,7.5,0.48
244,7.7,0.47
222,6.78,0.47
220,6.84,0.47
238,7.14,0.47
210,7.06,0.47
220,6.7,0.46
246,7.5,0.46
226,7.1,0.46
218,6.86,0.46
234,7.46,0.46
276,8.1,0.45
210,6.96,0.45
226,6.71,0.45
226,7,0.44
222,7.04,0.44
232,7.38,0.44
224,7.39,0.43
252,7.8,0.42
238,7.34,0.42
228,6.84,0.42
228,6.92,0.42
260,7.15,0.39
228,7.16,0.38
238,7.16,0.38
220,7.07,0.37
230,6.3,0.36
236,7.16,0.36
226,7.53,0.34
224,6.93,0.34
